Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
2,FivePoints,San Joaquin Valley,12/30/2024,365,1.27, ,0.00, ,90, ,1.0, ,14.1, ,4.3, ,9.1, ,97, ,64, ,84, ,6.5, ,3.6, ,307.3, ,11.6, 
2,FivePoints,San Joaquin Valley,12/31/2024,366,1.51, ,0.00, ,101, ,0.7, ,13.7, ,0.4, ,7.2, ,88, ,51, ,71, ,2.4, ,2.2, ,192.2, ,11.1, 
2,FivePoints,San Joaquin Valley,1/1/2025,001,1.11, ,0.00, ,88, ,0.8, ,15.7, ,0.6, ,7.5, ,91, ,57, ,77, ,3.7, ,1.6, ,134.5, ,10.6, 
2,FivePoints,San Joaquin Valley,1/2/2025,002,1.21, ,0.00, ,98, ,0.8, ,16.8, ,0.9, ,8.2, ,94, ,49, ,76, ,4.2, ,1.4, ,118.0, ,10.4, 
2,FivePoints,San Joaquin Valley,1/3/2025,003,0.64, ,0.00, ,49, ,1.0, ,15.6, ,6.0, ,9.8, ,94, ,61, ,85, ,7.3, ,2.7, ,232.2, ,10.5, 
2,FivePoints,San Joaquin Valley,1/4/2025,004,1.59, ,0.00, ,98, ,0.9, ,15.3, ,3.1, ,8.5, ,92, ,60, ,78, ,4.8, ,2.9, ,247.2, ,10.5, 
2,FivePoints,San Joaquin Valley,1/5/2025,005,1.31, ,0.00, ,98, ,0.9, ,15.2, ,1.3, ,7.8, ,95, ,59, ,81, ,4.7, ,2.0, ,173.1, ,10.3, 
2,FivePoints,San Joaquin Valley,1/6/2025,006,1.23, ,0.00, ,102, ,0.9, ,16.0, ,0.2, ,8.6, ,96, ,60, ,81, ,5.4, ,1.7, ,147.7, ,10.2, 
2,FivePoints,San Joaquin Valley,1/7/2025,007,2.06, ,0.00, ,105, ,0.9, ,17.4, ,5.9, ,10.9, ,98, ,40, ,70, ,5.7, ,3.5, ,298.4, ,10.4, 
2,FivePoints,San Joaquin Valley,1/8/2025,008,1.02, ,0.00, ,74, ,0.7, ,17.2, ,1.5, ,7.0, ,87, ,43, ,68, ,1.6, ,1.4, ,124.2, ,10.2, 
2,FivePoints,San Joaquin Valley,1/9/2025,009,1.41, ,0.00, ,109, ,0.7, ,16.9, ,-1.1, ,7.0, ,90, ,45, ,71, ,2.0, ,1.4, ,123.4, ,9.8, 
2,FivePoints,San Joaquin Valley,1/10/2025,010,1.67, ,0.00, ,112, ,0.7, ,20.6, ,-0.7, ,8.9, ,89, ,34, ,62, ,1.9, ,1.6, ,140.7, ,9.8, 
2,FivePoints,San Joaquin Valley,1/11/2025,011,2.87, ,0.00, ,117, ,0.6, ,16.7, ,2.6, ,9.4, ,78, ,33, ,55, ,0.7, ,4.3,Y,367.3,Y,9.8, 
2,FivePoints,San Joaquin Valley,1/12/2025,012,2.38, ,0.00, ,119, ,0.5, ,14.4, ,-0.3, ,6.9, ,74, ,37, ,54, ,-1.7, ,3.3, ,288.1, ,9.4, 
2,FivePoints,San Joaquin Valley,1/13/2025,013,1.71, ,0.00, ,120, ,0.5, ,15.7, ,-3.4, ,5.3, ,80, ,39, ,61, ,-1.5, ,2.1, ,177.9, ,9.0, 
2,FivePoints,San Joaquin Valley,1/14/2025,014,1.73, ,0.00, ,121, ,0.6, ,17.0, ,-2.4, ,6.6, ,82, ,33, ,57, ,-1.3, ,1.5, ,131.7, ,8.8, 
2,FivePoints,San Joaquin Valley,1/15/2025,015,1.88, ,0.00, ,123, ,0.6, ,19.3, ,-2.2, ,7.7, ,79, ,30, ,55, ,-0.8, ,1.7, ,148.3, ,8.8, 
2,FivePoints,San Joaquin Valley,1/16/2025,016,1.78, ,0.00, ,122, ,0.6, ,19.0, ,-1.6, ,7.9, ,77, ,29, ,53, ,-1.2, ,1.4, ,117.8, ,8.9, 
2,FivePoints,San Joaquin Valley,1/17/2025,017,1.86, ,3.40, ,123, ,0.6, ,18.6, ,0.2, ,8.1, ,79, ,34, ,54, ,-0.5, ,1.5, ,127.1, ,8.9, 
2,FivePoints,San Joaquin Valley,1/18/2025,018,1.58, ,0.00, ,122, ,0.7, ,15.8, ,-0.8, ,7.0, ,91, ,51, ,72, ,2.4, ,1.8, ,154.0, ,8.9, 
2,FivePoints,San Joaquin Valley,1/19/2025,019,1.61, ,0.00, ,120, ,0.7, ,16.6, ,-2.1, ,6.4, ,92, ,44, ,70, ,1.3, ,1.5, ,129.5, ,8.8, 
2,FivePoints,San Joaquin Valley,1/20/2025,020,1.78, ,0.00, ,122, ,0.7, ,15.2, ,-1.1, ,6.6, ,90, ,48, ,71, ,1.7, ,2.3, ,197.1, ,8.7, 
2,FivePoints,San Joaquin Valley,1/21/2025,021,1.85, ,0.00, ,124, ,0.6, ,18.0, ,-2.1, ,7.4, ,87, ,37, ,61, ,0.3, ,1.8, ,151.4, ,8.7, 
2,FivePoints,San Joaquin Valley,1/22/2025,022,1.79, ,0.00, ,131, ,0.6, ,17.2, ,-2.9, ,6.9, ,85, ,33, ,56, ,-1.2, ,1.3, ,114.8, ,8.7, 
2,FivePoints,San Joaquin Valley,1/23/2025,023,1.86, ,0.00, ,131, ,0.6, ,19.3, ,-2.9, ,7.3, ,78, ,33, ,56, ,-0.8, ,1.3, ,110.2, ,8.6, 
2,FivePoints,San Joaquin Valley,1/24/2025,024,1.93, ,0.00, ,124, ,0.6, ,20.0, ,-1.9, ,8.1, ,83, ,30, ,54, ,-0.7, ,1.4, ,120.4, ,8.6, 
2,FivePoints,San Joaquin Valley,1/25/2025,025,1.69, ,0.00, ,88, ,0.7, ,15.4, ,4.5, ,8.7, ,84, ,43, ,64, ,2.3, ,2.7, ,236.4, ,8.8, 
2,FivePoints,San Joaquin Valley,1/26/2025,026,0.51, ,2.70, ,53, ,0.9, ,10.7, ,1.5, ,6.7, ,97, ,74, ,88, ,4.9, ,2.2, ,191.2, ,8.8, 
2,FivePoints,San Joaquin Valley,1/27/2025,027,1.68, ,0.10, ,134, ,0.7, ,14.3, ,-0.1, ,6.4, ,96, ,41, ,70, ,1.3, ,1.5, ,131.6, ,8.8, 
2,FivePoints,San Joaquin Valley,1/28/2025,028,1.83, ,0.00, ,134, ,0.6, ,15.7, ,-2.6, ,6.0, ,94, ,41, ,67, ,0.3, ,1.6, ,136.3, ,8.7, 
2,FivePoints,San Joaquin Valley,1/29/2025,029,1.79, ,0.00, ,135, ,0.6, ,16.4, ,-1.3, ,6.6, ,88, ,42, ,65, ,0.5, ,1.6, ,136.1, ,8.7, 
2,FivePoints,San Joaquin Valley,1/30/2025,030,1.77, ,0.00, ,133, ,0.7, ,15.6, ,0.2, ,7.1, ,89, ,51, ,71, ,2.2, ,1.7, ,148.2, ,8.7, 
2,FivePoints,San Joaquin Valley,1/31/2025,031,1.43, ,0.00, ,91, ,0.8, ,16.4, ,1.5, ,9.3, ,84, ,49, ,68, ,3.7, ,1.3, ,115.3, ,8.8, 
2,FivePoints,San Joaquin Valley,2/1/2025,032,1.70, ,0.00, ,80, ,0.9, ,19.4, ,7.3, ,13.5, ,83, ,45, ,61, ,6.2, ,2.2, ,192.8, ,9.4, 
2,FivePoints,San Joaquin Valley,2/2/2025,033,2.06, ,0.00, ,139, ,1.0, ,22.1, ,4.2, ,12.6, ,86, ,47, ,68, ,6.8, ,1.5, ,131.5, ,9.9, 
2,FivePoints,San Joaquin Valley,2/3/2025,034,2.05, ,0.00, ,104, ,0.9, ,20.6, ,4.2, ,12.2, ,93, ,40, ,63, ,5.5, ,2.6, ,225.5, ,10.2, 
2,FivePoints,San Joaquin Valley,2/4/2025,035,2.16, ,0.30, ,83, ,1.1, ,20.8, ,8.7, ,14.4, ,78, ,47, ,67, ,8.3, ,4.6,Y,398.0,Y,10.8, 
2,FivePoints,San Joaquin Valley,2/5/2025,036,2.53, ,0.00, ,139, ,0.7, ,16.2, ,4.6, ,10.7, ,78, ,36, ,55, ,2.1, ,3.6, ,309.4, ,11.2, 
2,FivePoints,San Joaquin Valley,2/6/2025,037,0.66, ,3.80, ,44, ,1.1, ,16.3, ,4.8, ,10.9, ,88, ,61, ,83, ,8.1, ,4.1, ,351.3, ,10.9, 
2,FivePoints,San Joaquin Valley,2/7/2025,038,1.56, ,0.00, ,103, ,1.0, ,16.1, ,4.6, ,11.5, ,89, ,56, ,76, ,7.4, ,2.8, ,244.0, ,11.4, 
2,FivePoints,San Joaquin Valley,2/8/2025,039,2.66, ,0.00, ,161, ,0.8, ,15.3, ,2.7, ,8.0, ,90, ,48, ,70, ,2.9, ,4.1, ,354.8, ,12.3, 
2,FivePoints,San Joaquin Valley,2/9/2025,040,2.82, ,0.00, ,163, ,0.6, ,14.7, ,-1.2, ,6.6, ,74, ,40, ,57, ,-1.3, ,3.5, ,303.3, ,11.8, 
2,FivePoints,San Joaquin Valley,2/10/2025,041,2.71, ,0.00, ,164, ,0.5, ,14.7, ,-2.2, ,6.4, ,68, ,34, ,48, ,-3.7, ,2.7, ,231.1, ,11.1, 
2,FivePoints,San Joaquin Valley,2/11/2025,042,2.68, ,0.00, ,157, ,0.5, ,16.1, ,-2.5, ,8.1, ,76, ,25, ,46, ,-2.7, ,2.1, ,180.1, ,10.6, 
2,FivePoints,San Joaquin Valley,2/12/2025,043,1.50, ,2.30, ,103, ,0.9, ,14.5, ,6.4, ,10.1, ,91, ,53, ,73, ,5.4, ,2.5, ,219.0, ,10.8, 
2,FivePoints,San Joaquin Valley,2/13/2025,044,1.31, ,13.50, ,64, ,1.2, ,19.1, ,9.9, ,13.5, ,91, ,59, ,80, ,10.2, ,4.8,Y,416.0,Y,11.2, 
2,FivePoints,San Joaquin Valley,2/14/2025,045,2.35, ,0.20, ,145, ,1.0, ,16.4, ,6.1, ,11.3, ,92, ,55, ,77, ,7.4, ,3.3, ,285.1, ,11.6, 
2,FivePoints,San Joaquin Valley,2/15/2025,046,1.95, ,0.00, ,142, ,0.8, ,15.5, ,1.6, ,8.4, ,93, ,57, ,76, ,4.5, ,2.0, ,174.2, ,11.3, 
2,FivePoints,San Joaquin Valley,2/16/2025,047,2.45, ,0.00, ,169, ,0.9, ,19.3, ,2.2, ,10.4, ,95, ,44, ,71, ,5.4, ,1.7, ,148.2, ,11.1, 
2,FivePoints,San Joaquin Valley,2/17/2025,048,2.61, ,0.00, ,153, ,0.9, ,17.4, ,5.4, ,10.7, ,93, ,50, ,71, ,5.7, ,3.1, ,269.6, ,11.4, 
2,FivePoints,San Joaquin Valley,2/18/2025,049,2.70, ,0.00, ,162, ,0.9, ,18.3, ,3.5, ,10.4, ,90, ,48, ,70, ,5.2, ,2.6, ,222.4, ,11.2, 
2,FivePoints,San Joaquin Valley,2/19/2025,050,3.02, ,2.40, ,87, ,1.1, ,25.5,Y,11.6,Y,16.0, ,85, ,42, ,60, ,8.3, ,4.3, ,373.7, ,11.4, 
2,FivePoints,San Joaquin Valley,2/20/2025,051,2.85, ,0.00, ,169, ,1.0, ,17.6, ,6.6, ,11.9, ,89, ,54, ,74, ,7.4, ,4.4, ,384.2, ,11.7, 
2,FivePoints,San Joaquin Valley,2/21/2025,052,2.50, ,0.00, ,167, ,0.9, ,19.9, ,1.5, ,10.7, ,92, ,46, ,70, ,5.4, ,1.7, ,146.3, ,11.6, 
2,FivePoints,San Joaquin Valley,2/22/2025,053,2.87, ,0.00, ,179, ,0.9, ,23.1, ,3.6, ,13.1, ,85, ,32, ,58, ,5.0, ,1.4, ,120.4, ,11.7, 
2,FivePoints,San Joaquin Valley,2/23/2025,054,3.10, ,0.00, ,169, ,0.9, ,25.1, ,5.7, ,15.3, ,83, ,29, ,54, ,6.0, ,1.7, ,149.6, ,12.2, 
2,FivePoints,San Joaquin Valley,2/24/2025,055,3.51, ,0.00, ,154, ,1.1, ,25.4,Y,8.7, ,16.5,Y,78, ,31, ,58,Y,8.3,Y,3.3, ,286.1, ,12.7, 
2,FivePoints,San Joaquin Valley,2/25/2025,056,3.32, ,0.00, ,176, ,1.1, ,20.7, ,8.6, ,14.0, ,95, ,41, ,68, ,8.2, ,3.9, ,336.4, ,13.0, 
2,FivePoints,San Joaquin Valley,2/26/2025,057,2.99, ,0.00, ,181, ,0.8, ,23.0, ,2.9, ,12.9, ,82, ,31, ,53, ,3.7, ,1.4, ,117.6, ,12.9, 
2,FivePoints,San Joaquin Valley,2/27/2025,058,2.74, ,0.00, ,138, ,0.8, ,26.0,Y,5.0, ,14.2, ,75, ,26, ,52, ,4.5, ,1.9, ,166.8, ,13.4, 
2,FivePoints,San Joaquin Valley,2/28/2025,059,2.66, ,0.00, ,91, ,0.9, ,23.9, ,8.2, ,15.9, ,81, ,31, ,49, ,5.3, ,2.7, ,234.3, ,14.0, 
2,FivePoints,San Joaquin Valley,3/1/2025,060,3.78, ,0.00, ,158, ,0.8, ,26.0,Y,6.4, ,15.9, ,67, ,29, ,45, ,3.8, ,2.5, ,219.5, ,14.4, 
2,FivePoints,San Joaquin Valley,3/2/2025,061,1.79, ,2.10, ,121, ,0.9, ,15.3, ,3.5, ,10.6, ,89, ,51, ,68, ,4.9, ,2.2, ,190.6, ,14.5, 
2,FivePoints,San Joaquin Valley,3/3/2025,062,2.71, ,0.00, ,155, ,0.8, ,17.8, ,4.1, ,10.7, ,84, ,42, ,65, ,4.3, ,2.4, ,208.2, ,14.0, 
2,FivePoints,San Joaquin Valley,3/4/2025,063,2.40, ,0.00, ,157, ,0.8, ,19.2, ,2.7, ,11.1, ,84, ,39, ,61, ,3.8, ,1.5, ,129.8, ,13.7, 
2,FivePoints,San Joaquin Valley,3/5/2025,064,0.31, ,14.60, ,40, ,1.1, ,12.1, ,5.0, ,10.3, ,96, ,57, ,86, ,8.1, ,2.0, ,170.9, ,13.7, 
2,FivePoints,San Joaquin Valley,3/6/2025,065,0.77, ,2.70, ,69, ,0.9, ,13.2, ,4.2, ,8.2, ,92, ,62, ,81, ,5.1, ,2.0, ,172.0, ,13.2, 
2,FivePoints,San Joaquin Valley,3/7/2025,066,1.57, ,0.10, ,84, ,0.9, ,16.4, ,3.1, ,9.3, ,95, ,44, ,74, ,4.9, ,3.0, ,260.9, ,12.7, 
2,FivePoints,San Joaquin Valley,3/8/2025,067,1.65, ,0.00, ,92, ,0.8, ,20.3, ,2.1, ,10.8, ,91, ,34, ,64, ,4.2, ,2.2, ,186.0, ,12.5, 
2,FivePoints,San Joaquin Valley,3/9/2025,068,2.23, ,0.00, ,97, ,0.8, ,23.6, ,2.1, ,13.0, ,93, ,20, ,50, ,2.9, ,2.0, ,173.4, ,12.8, 
2,FivePoints,San Joaquin Valley,3/10/2025,069,2.83, ,0.00, ,143, ,0.9, ,21.3, ,5.0, ,13.3, ,85, ,36, ,56, ,4.7, ,2.6, ,222.1, ,13.1, 
2,FivePoints,San Joaquin Valley,3/11/2025,070,2.49, ,0.00, ,137, ,0.8, ,21.1, ,6.1, ,13.5, ,73, ,34, ,52, ,3.9, ,1.9, ,163.8, ,13.3, 
2,FivePoints,San Joaquin Valley,3/12/2025,071,1.87, ,3.30, ,67, ,1.0, ,19.3, ,8.2, ,12.5, ,89, ,46, ,68, ,6.6, ,4.2, ,361.0, ,13.3, 
2,FivePoints,San Joaquin Valley,3/13/2025,072,1.64, ,6.10, ,131, ,0.9, ,13.5, ,4.3, ,8.4, ,95, ,62, ,84, ,5.8, ,2.8, ,238.7, ,12.9, 
2,FivePoints,San Joaquin Valley,3/14/2025,073,1.44, ,4.60, ,121, ,0.9, ,12.6, ,3.6, ,7.5, ,97, ,75, ,87, ,5.5, ,2.8, ,239.0, ,12.2, 
2,FivePoints,San Joaquin Valley,3/15/2025,074,2.70, ,0.10, ,187, ,0.9, ,17.6, ,1.9, ,10.0, ,97, ,41, ,70, ,4.8, ,1.6, ,134.1, ,12.1, 
2,FivePoints,San Joaquin Valley,3/16/2025,075,3.27, ,0.00, ,166, ,1.0, ,20.7, ,3.1, ,12.6, ,93, ,46, ,66, ,6.5, ,3.5, ,302.7, ,12.5, 
2,FivePoints,San Joaquin Valley,3/17/2025,076,1.61, ,6.20, ,101, ,1.1, ,16.2, ,8.9, ,12.4, ,92, ,58, ,75, ,8.1, ,3.4, ,297.6, ,12.8, 
2,FivePoints,San Joaquin Valley,3/18/2025,077,3.53, ,0.00, ,226, ,0.9, ,16.8, ,5.2, ,10.5, ,96, ,47, ,71, ,5.4, ,3.6, ,308.3, ,12.7, 
2,FivePoints,San Joaquin Valley,3/19/2025,078,3.01, ,0.00, ,183, ,0.9, ,19.3, ,1.8, ,11.5, ,88, ,41, ,64, ,4.9, ,2.2, ,190.3, ,12.7, 
2,FivePoints,San Joaquin Valley,3/20/2025,079,4.30, ,0.00, ,219, ,0.9, ,19.5, ,7.4, ,12.8, ,85, ,35, ,58, ,4.6, ,4.2, ,359.9, ,12.9, 
2,FivePoints,San Joaquin Valley,3/21/2025,080,4.20, ,0.00, ,213, ,0.8, ,21.0, ,4.0, ,12.9, ,86, ,34, ,56, ,4.2, ,3.0, ,257.6, ,12.9, 
2,FivePoints,San Joaquin Valley,3/22/2025,081,3.26, ,0.00, ,163, ,1.0, ,20.5, ,6.6, ,13.6, ,82, ,47, ,65, ,7.0, ,3.2, ,279.8, ,13.0, 
2,FivePoints,San Joaquin Valley,3/23/2025,082,4.21, ,0.00, ,230, ,1.1, ,23.5, ,6.3, ,15.4, ,90, ,43, ,64, ,8.5, ,2.5, ,213.1, ,13.2, 
2,FivePoints,San Joaquin Valley,3/24/2025,083,4.20, ,0.00, ,231, ,1.3, ,28.5, ,8.0, ,18.3, ,86, ,40, ,61, ,10.6, ,1.7, ,144.2, ,13.9, 
2,FivePoints,San Joaquin Valley,3/25/2025,084,4.45, ,0.00, ,233, ,1.5,Y,31.8,Y,10.4, ,21.2,Y,86, ,33, ,58,Y,12.7,Y,1.6, ,137.3, ,15.1, 
2,FivePoints,San Joaquin Valley,3/26/2025,085,5.17, ,0.00, ,233, ,1.3, ,29.3, ,12.4, ,19.8, ,77, ,24, ,56, ,10.9, ,2.8, ,238.4, ,16.0, 
2,FivePoints,San Joaquin Valley,3/27/2025,086,4.60, ,0.00, ,218, ,1.1, ,25.8, ,9.7, ,16.7, ,82, ,33, ,60, ,9.0, ,3.4, ,290.8, ,16.1, 
2,FivePoints,San Joaquin Valley,3/28/2025,087,3.76, ,0.00, ,178, ,0.9, ,20.5, ,8.5, ,14.3, ,77, ,40, ,58, ,6.2, ,3.7, ,320.1, ,15.9, 
2,FivePoints,San Joaquin Valley,3/29/2025,088,4.05, ,0.00, ,230, ,0.8, ,19.9, ,5.9, ,13.3, ,77, ,31, ,51, ,3.4, ,2.6, ,227.9, ,15.4, 
2,FivePoints,San Joaquin Valley,3/30/2025,089,2.64, ,0.30, ,124, ,1.2, ,20.4, ,10.0, ,14.8, ,75, ,56, ,69, ,9.0, ,4.3, ,367.2, ,15.2, 
2,FivePoints,San Joaquin Valley,3/31/2025,090,3.86, ,0.60, ,164, ,1.1, ,22.0, ,9.1, ,15.8, ,92, ,35, ,62, ,8.6, ,4.3, ,369.1, ,15.1, 
2,FivePoints,San Joaquin Valley,4/1/2025,091,2.36, ,3.70, ,161, ,0.9, ,16.2, ,3.6, ,10.5, ,84, ,46, ,68, ,4.9, ,2.2, ,187.1, ,14.9, 
2,FivePoints,San Joaquin Valley,4/2/2025,092,3.32, ,0.00, ,201, ,0.9, ,17.0, ,3.1, ,10.7, ,93, ,47, ,66, ,4.7, ,2.5, ,219.3, ,14.5, 
2,FivePoints,San Joaquin Valley,4/3/2025,093,3.81, ,0.00, ,224, ,0.7, ,19.3, ,1.7, ,11.3, ,84, ,37, ,56, ,2.8, ,2.2, ,193.0, ,14.2, 
2,FivePoints,San Joaquin Valley,4/4/2025,094,5.00, ,0.00, ,245, ,0.7, ,22.5, ,3.5, ,13.6, ,78, ,24, ,46, ,2.1, ,2.8, ,238.1, ,14.2, 
2,FivePoints,San Joaquin Valley,4/5/2025,095,4.58, ,0.00, ,241, ,0.7, ,24.8, ,4.9, ,15.5, ,67, ,26, ,40, ,2.1, ,1.7, ,149.4, ,14.5, 
2,FivePoints,San Joaquin Valley,4/6/2025,096,4.75, ,0.00, ,244, ,0.8, ,26.8, ,5.9, ,17.4, ,69, ,26, ,42, ,4.3, ,1.7, ,145.3, ,15.1, 
2,FivePoints,San Joaquin Valley,4/7/2025,097,4.94, ,0.00, ,224, ,1.1, ,25.8, ,9.3, ,18.3, ,67, ,39, ,51, ,8.0, ,3.3, ,285.7, ,15.7, 
2,FivePoints,San Joaquin Valley,4/8/2025,098,5.22, ,0.00, ,245, ,1.1, ,24.8, ,11.6, ,17.6, ,76, ,40, ,55, ,8.5, ,3.9, ,340.6, ,16.1, 
2,FivePoints,San Joaquin Valley,4/9/2025,099,5.14, ,0.00, ,247, ,1.1, ,28.3, ,8.3, ,18.5, ,73, ,31, ,50, ,7.9, ,2.3, ,200.6, ,16.2, 
2,FivePoints,San Joaquin Valley,4/10/2025,100,5.51, ,0.00, ,245, ,1.2, ,30.1, ,9.5, ,20.9, ,79, ,33, ,50, ,10.0, ,2.5, ,216.6, ,16.7, 
2,FivePoints,San Joaquin Valley,4/11/2025,101,5.19, ,0.00, ,236, ,1.1, ,28.4, ,10.9, ,20.4, ,73, ,31, ,48, ,9.0, ,2.5, ,219.2, ,17.3, 
2,FivePoints,San Joaquin Valley,4/12/2025,102,6.07, ,0.00, ,258, ,0.8, ,26.9, ,11.3, ,19.0, ,60, ,25, ,38, ,4.5, ,3.3, ,282.4, ,17.6, 
2,FivePoints,San Joaquin Valley,4/13/2025,103,5.33, ,0.00, ,251, ,0.9, ,27.5, ,7.4, ,18.0, ,74, ,26, ,44, ,5.5, ,2.4, ,204.2, ,17.5, 
